,Unnamed: 0,Unnamed: 0.1,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,日期
290,290,290,2337,旺宏,"15,515,039","3,569","135,883,240",8.80,8.83,8.70,8.73,+,0.06,8.72,150,8.73,23,0.0,2013-01-02
1161,1161,290,2337,旺宏,"31,791,025","6,183","282,131,486",8.78,8.96,8.75,8.90,+,0.17,8.89,298,8.90,49,0.0,2013-01-03
2032,2032,290,2337,旺宏,"20,882,138","4,210","183,465,149",8.93,8.93,8.70,8.77,-,0.13,8.76,43,8.77,151,0.0,2013-01-04
2903,2903,290,2337,旺宏,"23,474,170","5,669","209,290,294",8.77,9.07,8.66,8.97,+,0.2,8.96,42,8.97,591,0.0,2013-01-07
3774,3774,290,2337,旺宏,"21,819,494","4,274","191,119,111",8.84,8.84,8.70,8.75,-,0.22,8.74,23,8.75,124,0.0,2013-01-08
4645,4645,290,2337,旺宏,"28,184,977","7,204","251,748,201",8.75,9.04,8.75,8.94,+,0.19,8.94,83,8.95,34,0.0,2013-01-09
5516,5516,290,2337,旺宏,"25,128,836","5,207","224,823,630",9.00,9.04,8.80,8.80,-,0.14,8.80,989,8.83,4,0.0,2013-01-10
6387,6387,290,2337,旺宏,"11,023,444","2,643","98,401,219",8.96,9.02,8.88,8.90,+,0.1,8.90,322,8.91,155,0.0,2013-01-11
7258,7258,290,2337,旺宏,"24,175,523","4,853","217,390,383",8.93,9.06,8.82,9.02,+,0.12,9.02,56,9.03,269,0.0,2013-01-14
8129,8129,290,2337,旺宏,"14,471,305","3,988","129,649,044",9.02,9.06,8.87,8.89,-,0.13,8.89,67,8.90,59,0.0,2013-01-15
9000,9000,290,2337,旺宏,"26,086,789","5,780","236,358,857",8.99,9.15,8.96,9.00,+,0.11,9.00,"1,076",9.01,285,0.0,2013-01-16
9871,9871,290,2337,旺宏,"23,516,841","5,081","208,282,515",9.10,9.12,8.59,8.81,-,0.19,8.81,73,8.82,401,0.0,2013-01-17
10740,10740,289,2337,旺宏,"9,812,067","2,186","87,151,745",8.91,8.99,8.81,8.81, ,0.0,8.81,105,8.82,8,0.0,2013-01-18
11609,11609,289,2337,旺宏,"7,181,827","1,839","62,919,715",8.88,8.88,8.71,8.74,-,0.07,8.74,9,8.75,27,0.0,2013-01-21
12478,12478,289,2337,旺宏,"7,039,418","1,874","61,558,238",8.75,8.80,8.69,8.74, ,0.0,8.74,274,8.75,33,0.0,2013-01-22
13346,13346,289,2337,旺宏,"6,374,925","1,828","55,733,589",8.75,8.80,8.70,8.71,-,0.03,8.71,85,8.72,9,0.0,2013-01-23
14214,14214,289,2337,旺宏,"6,964,770","2,164","60,766,143",8.69,8.77,8.66,8.71, ,0.0,8.71,42,8.72,27,0.0,2013-01-24
15082,15082,289,2337,旺宏,"9,219,478","2,585","79,815,069",8.68,8.73,8.62,8.62,-,0.09,8.61,196,8.62,45,0.0,2013-01-25
15951,15951,289,2337,旺宏,"35,011,817","7,341","313,877,560",8.70,9.13,8.70,9.11,+,0.49,9.11,11,9.12,363,0.0,2013-01-28
16820,16820,289,2337,旺宏,"39,140,808","8,488","359,703,086",9.20,9.35,9.04,9.04,-,0.07,9.04,279,9.05,16,0.0,2013-01-29
17689,17689,289,2337,旺宏,"19,543,700","4,313","175,129,913",9.04,9.08,8.92,8.94,-,0.1,8.94,53,8.95,57,0.0,2013-01-30
18559,18559,289,2337,旺宏,"41,532,583","8,199","353,415,593",8.45,8.65,8.41,8.50,-,0.44,8.49,178,8.50,198,0.0,2013-01-31
19430,19430,290,2337,旺宏,"13,364,458","3,653","113,924,929",8.50,8.60,8.42,8.50, ,0.0,8.50,39,8.51,23,0.0,2013-02-01
20301,20301,290,2337,旺宏,"11,381,788","3,405","96,774,389",8.51,8.59,8.45,8.46,-,0.04,8.46,20,8.47,6,0.0,2013-02-04
21172,21172,290,2337,旺宏,"16,372,930","3,653","135,734,150",8.31,8.39,8.25,8.25,-,0.04,8.25,418,8.26,126,0.0,2013-02-06
22043,22043,290,2337,旺宏,"9,663,746","3,014","81,051,693",8.40,8.45,8.30,8.39,+,0.14,8.38,26,8.39,7,0.0,2013-02-18
22914,22914,290,2337,旺宏,"7,889,946","2,595","66,940,869",8.40,8.53,8.40,8.53,+,0.14,8.52,44,8.53,98,0.0,2013-02-19
23785,23785,290,2337,旺宏,"9,318,098","2,427","79,670,955",8.55,8.57,8.52,8.56,+,0.03,8.56,327,8.57,218,0.0,2013-02-20
24655,24655,290,2337,旺宏,"17,395,384","4,041","151,306,563",8.70,8.78,8.62,8.69,+,0.13,8.68,239,8.69,171,0.0,2013-02-21
25525,25525,290,2337,旺宏,"8,248,130","2,107","71,196,318",8.69,8.71,8.57,8.64,-,0.05,8.62,22,8.64,270,0.0,2013-02-22
26395,26395,290,2337,旺宏,"8,674,333","2,210","75,357,712",8.65,8.75,8.60,8.69,+,0.05,8.68,106,8.69,18,0.0,2013-02-23
27265,27265,290,2337,旺宏,"12,707,308","3,195","110,739,686",8.69,8.82,8.63,8.63,-,0.06,8.63,464,8.69,10,0.0,2013-02-25
28135,28135,290,2337,旺宏,"9,129,790","2,413","78,148,357",8.55,8.65,8.52,8.52,-,0.11,8.52,109,8.54,5,0.0,2013-02-26
29004,29004,289,2337,旺宏,"7,425,689","2,005","63,260,317",8.55,8.60,8.45,8.45,-,0.07,8.45,875,8.49,89,0.0,2013-02-27
29872,29872,289,2337,旺宏,"14,510,369","3,710","125,301,149",8.46,8.71,8.46,8.69,+,0.24,8.68,3,8.69,147,0.0,2013-02-29
30741,30741,289,2337,旺宏,"14,510,369","3,710","125,301,149",8.46,8.71,8.46,8.69,+,0.24,8.68,3,8.69,147,0.0,2013-03-01
31610,31610,289,2337,旺宏,"16,780,020","4,383","146,333,074",8.70,8.85,8.59,8.60,-,0.09,8.60,97,8.62,133,0.0,2013-03-04
32479,32479,289,2337,旺宏,"11,631,543","3,038","101,335,309",8.65,8.79,8.63,8.70,+,0.1,8.70,21,8.71,6,0.0,2013-03-05
33348,33348,289,2337,旺宏,"9,958,465","2,740","87,443,155",8.86,8.87,8.70,8.71,+,0.01,8.71,91,8.72,3,0.0,2013-03-06
34217,34217,289,2337,旺宏,"7,257,457","2,297","63,522,437",8.70,8.82,8.70,8.72,+,0.01,8.72,83,8.73,37,0.0,2013-03-07
35086,35086,289,2337,旺宏,"9,717,048","2,466","84,974,305",8.75,8.79,8.71,8.71,-,0.01,8.71,41,8.72,4,0.0,2013-03-08
35955,35955,289,2337,旺宏,"36,288,626","7,494","326,106,386",8.80,9.15,8.75,9.02,+,0.31,9.02,47,9.03,56,0.0,2013-03-11
36825,36825,290,2337,旺宏,"12,350,726","2,731","110,219,767",8.96,9.03,8.85,8.90,-,0.06,8.88,47,8.90,215,0.0,2013-03-13
37697,37697,290,2337,旺宏,"10,986,335","2,335","96,788,450",8.90,8.93,8.76,8.77,-,0.13,8.76,158,8.77,10,0.0,2013-03-14
38569,38569,290,2337,旺宏,"11,983,604","3,521","105,299,027",8.78,8.85,8.71,8.85,+,0.08,8.83,3,8.85,210,0.0,2013-03-15
39441,39441,290,2337,旺宏,"10,109,475","2,312","88,179,710",8.85,8.85,8.66,8.66,-,0.19,8.66,20,8.67,11,0.00,2013-03-18
40313,40313,290,2337,旺宏,"6,982,299","1,930","60,791,186",8.68,8.75,8.67,8.67,+,0.01,8.67,56,8.69,18,0.00,2013-03-19
41185,41185,290,2337,旺宏,"9,936,363","3,105","86,014,787",8.68,8.76,8.59,8.59,-,0.08,8.59,31,8.60,6,0.00,2013-03-20
42058,42058,291,2337,旺宏,"7,444,540","2,252","64,057,074",8.63,8.67,8.54,8.54,-,0.05,8.54,25,8.57,34,0.00,2013-03-21
42931,42931,291,2337,旺宏,"7,708,076","1,959","65,845,903",8.54,8.60,8.50,8.50,-,0.04,8.50,400,8.52,35,0.00,2013-03-22
43804,43804,291,2337,旺宏,"6,909,732","2,163","58,983,876",8.53,8.60,8.49,8.50, ,0.0,8.50,119,8.51,19,0.00,2013-03-25
44677,44677,291,2337,旺宏,"11,146,036","2,798","95,524,897",8.50,8.64,8.46,8.57,+,0.07,8.57,318,8.58,12,0.00,2013-03-26
45550,45550,291,2337,旺宏,"11,819,352","3,174","103,091,651",8.57,8.80,8.57,8.65,+,0.08,8.65,276,8.66,71,0.00,2013-03-27
46423,46423,291,2337,旺宏,"6,814,499","1,875","58,612,712",8.70,8.71,8.54,8.56,-,0.09,8.55,227,8.56,166,0.00,2013-03-28
47296,47296,291,2337,旺宏,"6,320,885","1,643","54,415,733",8.57,8.67,8.56,8.61,+,0.05,8.61,187,8.62,8,0.00,2013-03-29
48169,48169,291,2337,旺宏,"4,647,030","1,581","39,941,445",8.58,8.67,8.55,8.56,-,0.05,8.56,306,8.57,28,0.00,2013-04-01
49042,49042,291,2337,旺宏,"11,829,035","3,037","101,332,341",8.56,8.66,8.53,8.53,-,0.03,8.53,129,8.54,60,0.00,2013-04-02
49915,49915,291,2337,旺宏,"26,602,905","5,262","225,170,887",8.55,8.62,8.36,8.45,-,0.08,8.44,14,8.45,517,0.00,2013-04-03
50788,50788,291,2337,旺宏,"29,773,465","6,394","239,344,474",8.25,8.26,7.95,8.00,-,0.45,7.99,664,8.00,255,0.00,2013-04-08
51661,51661,291,2337,旺宏,"25,935,931","7,352","204,447,972",8.01,8.05,7.72,7.86,-,0.14,7.85,108,7.86,53,0.00,2013-04-09
52534,52534,291,2337,旺宏,"17,777,186","5,396","140,609,483",7.86,7.96,7.80,7.88,+,0.02,7.88,264,7.89,30,0.00,2013-04-10
53407,53407,291,2337,旺宏,"21,978,647","4,448","175,035,364",7.95,8.02,7.90,8.00,+,0.12,7.99,63,8.00,179,0.00,2013-04-11
54280,54280,291,2337,旺宏,"20,843,510","4,645","163,200,028",8.00,8.00,7.75,7.79,-,0.21,7.79,145,7.80,107,0.00,2013-04-12
55153,55153,291,2337,旺宏,"14,109,588","3,953","107,432,628",7.72,7.75,7.50,7.57,-,0.22,7.57,29,7.58,14,0.00,2013-04-15
56026,56026,291,2337,旺宏,"10,073,437","2,319","76,429,450",7.50,7.68,7.43,7.67,+,0.1,7.66,59,7.67,20,0.00,2013-04-16
